bill_id,title,chamber,legislative_session,abstract,primary_sponsor,cosponsor_count,action_count,action_range,success,state_government_tech,regulation_tech,education_tech,local_government_tech,criminal_law_tech,government_tech,revenue_tech,transportation_tech,civil_law_tech,finance_tech,health_tech,safety_tech,employment_tech,public_employee_benefits_tech,public_aid_tech,business_tech,gaming_tech,elections_tech,courts_tech,liquor_tech,agriculture_tech,economic_development_tech,ethics_tech,human_rights_tech,military_service_tech,wildlife_tech,aging_tech,housing_tech,budget_implementation_tech,children_tech,conservation_tech,animals_tech,warehouses_tech,$attorney_general_tech,fish_tech,redistricting_tech,$capitol_architect_tech,cleaned_abstract,count_provides,count_reference,count_civil,count_procedure,count_amendment,count_title,count_short,count_code,count_new,count_replaces,count_general,count_ordinary,count_contingent,count_appropriates,count_expenses,count_revenue,count_july,count_fund,count_tax,count_concerning,sponsor_missing,count_pca1,count_pca2,count_pca3,svd_1,svd_2,svd_3,svd_4,svd_5,svd_6,svd_7,svd_8,svd_9,svd_10,svd_11,svd_12,svd_13,svd_14,svd_15,svd_16,svd_17,svd_18,svd_19,svd_20
SB 1484,PROPERTY-TECH,upper,100th,"Amends ""An Act concerning land"", Public Act 95-982. Makes a technical change in a Section directing the Director of Corrections to convey certain real estate to Peoria County.",,1,4,0-5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends act concerning land public act makes technical change section directing director corrections convey certain real estate peoria county,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3122696909086596,-0.07417125714843346,-0.02328018774856705,0.15950601111658258,-0.015337808953834041,-0.008820313409446731,-0.07881529718958549,0.02319486847493856,-0.024035843065919715,-0.09548147591890656,0.055208994189683856,-0.06121467692180295,-0.046241516541281,0.055069529689810215,-0.007856357915344829,-0.003363667676946583,0.033836848893649143,-0.0004223692379988497,0.025063062372390803,0.00792374013765014,0.024760909318513942,-0.009640938677202806,0.011622806932128414
SB 26,STATE GOVERNMENT-TECH,upper,100th,Amends the 2-1-1 Service Act. Makes a technical change in a Section concerning the short title.,,1,11,11-15,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends service act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.5892010139562176,-0.06810248037639696,-0.21224600311238034,-0.0015355763433571867,-0.05789632159404751,-0.04763882629924732,0.07844431183227638,-0.010241415906615446,-0.008000493778945402,-0.03971171681274057,-0.01617047690069335,0.025574277114616982,0.02180942435888173,-0.03670525954281075,-0.011539667098272414,0.07264047839662782,0.04959124290963855,0.03356493960644104,-0.01043681500525241,-0.007170753937298179
HB 1325,REGULATION-TECH,lower,100th,Amends the Abuse Prevention Review Team Act. Makes a technical change in a Section concerning the Act's relationship to other Acts.,,1,10,6-10,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends abuse prevention review team act makes technical change section concerning acts relationship acts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3122696909086596,-0.07417125714843346,-0.02328018774856705,0.1546589655953619,-0.015921325033003742,-0.01871283187302424,-0.06018788305177279,-0.016556662651134497,-0.028055783674550062,-0.009480620208270096,0.00887630957211738,0.02032737988670823,0.01610479214236192,0.03064227656540186,-0.0392560239529767,0.04359343278649631,0.002932900781287041,-0.007847733533561272,-0.004013047372790512,-0.0019376835598428816,-0.020153965966249424,-0.004378171681732195,-0.023106901961262756
SB 2006,CHILDREN-TECH,upper,100th,Amends the Abused and Neglected Child Reporting Act. Makes a technical change in a Section concerning the short title.,,1,4,0-5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,amends abused neglected child reporting act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.29989174222865095,-0.03919004480253731,-0.11710904739663572,0.0004336676659291068,-0.03774455820482863,-0.025742362797547488,0.012833276550452626,-0.022358741314508282,-0.021566222166431046,0.032709327538660855,-0.01283801443853933,-0.03106340348254918,-0.06473348982746431,-0.022888301826758703,-0.06551262285131984,0.018027000759609717,-0.018482047456724715,0.03154354701880849,0.033709336300711976,0.02746792787898683
HB 1327,REGULATION-TECH,lower,100th,Amends the Abused and Neglected Long Term Care Facility Residents Reporting Act. Makes a technical change in a Section concerning duties of the Department of Public Health.,,1,10,6-10,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends abused neglected long term care facility residents reporting act makes technical change section concerning duties department public health,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3122696909086596,-0.07417125714843346,-0.02328018774856705,0.17723010639750542,-0.0011008212361588773,0.005676391220896354,-0.06464471271180083,0.010054338427180676,-0.07597410333998975,-0.2547699534477708,0.12271848269644452,-0.06095982948193971,0.0802553492806374,-0.07569209060143325,0.02265251969764082,-0.0657807019936468,-0.01354350716949776,-0.05029932625405418,0.0010158012450290736,0.0013445081577750494,0.03441187835056911,0.023334738951993235,0.022690977081808596
HB 2286,REGULATION-TECH,lower,100th,Amends the Abused and Neglected Long Term Care Facility Residents Reporting Act. Makes a technical change in a Section concerning the short title.,,1,16,16-20,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends abused neglected long term care facility residents reporting act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.2230092500595625,-0.028815804997821392,-0.0886369851920858,-0.003498682373464585,-0.02830100650130426,-0.019041152521158566,-0.027113594388699296,-5.181686440623419e-05,-0.022294256947646245,0.0558218407902792,-0.03435167424743036,-0.01679400507584557,-0.05058438734710355,-0.03344470765824717,-0.07250272759373946,0.01540922849630009,0.0019710824025247087,0.00589602413937684,0.03531875454793486,0.04140667684048394
SB 1206,CRIMINAL LAW-TECH,upper,100th,Amends the Accelerated Resolution Program Act. Makes a technical change in a Section concerning the short title.,,1,11,11-15,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends accelerated resolution program act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.310398413789209,-0.03917610095892413,-0.10703431501979001,0.007218735476725218,-0.027448837793361755,-0.011990022270632023,-0.0014906446829447521,-0.028084897688514347,-0.006274503012012109,-0.005364098236042906,-0.018029875309157905,0.009842725805051007,0.0028396664247574803,0.005644413971548707,-0.025120533685148043,0.01103614015102748,-0.027503055002004406,-0.004260050055869507,-0.011958937707738478,0.08424538419798257
SB 546,COURTS-TECH,upper,100th,Amends the Access to Justice Act. Makes a technical change in a Section concerning the short title.,,1,14,11-15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends access justice act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.42647060169797835,-0.0489476275717047,-0.15145961080089781,0.02609424128955916,-0.04312228042833081,-0.026556504570540932,0.03055909886746896,-0.04262097981870188,-0.02061945759557587,0.015878011263004893,0.0014567413373444693,-0.01918497077497517,-0.014164132999002746,0.056984928093656885,7.571345876782043e-05,0.023056453859951934,-0.046669656512131674,0.03215274232642314,-0.052647587339115155,0.005428405530443284
HB 1118,FINANCE-TECH,lower,100th,Amends the Accountability for the Investment of Public Funds Act. Makes a technical change in a Section concerning definitions.,,1,10,6-10,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends accountability investment public funds act makes technical change section concerning definitions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.3122696909086596,-0.07417125714843346,-0.02328018774856705,0.2551563714870651,-0.02487644758689453,0.03654532174866809,-0.19324784869712278,0.08174128725878614,-0.03956459092213685,-0.20575366752584248,0.04779472556878243,-0.11958070181247712,-0.0392973095859487,0.17903171753729147,-0.11643873803892581,-0.11511961805572456,-0.11066412512867703,-0.10607123585872708,-0.09986581469550268,0.18371155594676197,0.08106088922200916,-0.04501309951115097,-0.018423235935122458
HB 1324,REGULATION-TECH,lower,100th,Amends the Accountable Care Organization Clinical Laboratory Testing Advisory Board Act. Makes a technical change in a Section concerning the short title.,,1,10,6-10,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,amends accountable care organization clinical laboratory testing advisory board act makes technical change section concerning short title,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-0.32738726919714883,-0.10797574324546894,-0.5611620481199108,0.23087706596883573,-0.012536628621894825,-0.07763873512357533,-0.021672990884185145,-0.05100606224100147,0.008264577514378294,-0.022047726239559078,0.0005211192561099501,0.015789945997136748,0.042508727560623905,-0.018697046224675988,-0.015457533520734932,0.1058884658289098,-0.03129367474046992,-0.05076697969932491,0.06997777766834407,0.05568854560926833,0.016440676610376834,0.007924753722901091,0.05212058124114249
